title,description,source,date_of_publication,category,author,link
Black Teens Called ‘Radioactive’ as D.C. Cuts Programs Meant to Help Them,"WASHINGTON, D.C. — Youth advocate Kawana Billy nearly jumped out of her chair listening to the way a white D.C. Council member described Black youth in Washington. To him, they were “dangerous” and “radioactive,” and at one point, he alleged young people carry guns and scare residents. “It’s very interesting how folks are using these terms of young people, and then to see where our budget goes at the same time,” a frustrated Billy told Capital B.",capitalbnews.org,2026-04-24,Criminal Justice,Alecia Taylor,https://capitalbnews.org/dc-youth-curfew-teen-takeover/
"Virginia’s Redistricting Vote Was About Representation, Power, and History","ARLINGTON, Virginia — After weeks of wall-to-wall campaigning, Virginians made their voices heard, approving a new U.S. House map that could help Democrats to pick up four additional seats and bolster Black political power in Congress. But less than 24 hours later, a judge barred the certification of the results. Wednesday’s ruling halts state officials from finalizing the results of the ballot measure, which sought to overhaul Virginia’s redistricting process.",capitalbnews.org,2026-04-23,Elections,Brandon Tensley,https://capitalbnews.org/virginia-redistricting-vote-black-political-power/
Atlanta’s ‘Cop City’ Makes a Black Neighborhood a Testing Lab for AI Policing,"This story was published in partnership with Counterstream Media for The AI issue of Peace & Riot . ATLANTA — When he drives through his neighborhood now, Brian Page passes rows of police cars and AI‑powered cameras that track nearly every movement. For most of his life, Page, who goes by “Scapegoat Jones,” felt safest in the community that Atlanta officials have since flooded with officers and surveillance technology in the name of “public safety.” He bought a house six minutes from the one he…",capitalbnews.org,2026-04-22,Climate Change,Adam Mahoney and Madeline Thigpen,https://capitalbnews.org/atlanta-cop-city-ai-policing-black-community/
A Sudden Resignation Leaves Florida’s Blackest Congressional District in Limbo,"Constituents of Florida’s heavily Black 20th Congressional District must now navigate a volatile political moment, as U.S. Rep. Sheila Cherfilus-McCormick, a Democrat who represented the district since 2022, resigned on Tuesday. The surprise announcement came just ahead of a hearing when the House Ethics Committee was scheduled to formally recommend disciplinary action over an investigation into her conduct. The bipartisan panel found in March that she had violated House rules.",capitalbnews.org,2026-04-21,News,Brandon Tensley,https://capitalbnews.org/a-sudden-resignation-leaves-floridas-blackest-congressional-district-in-limbo/
Shreveport Mass Shooting of 8 Children Exposes Toll of Domestic Violence,"Just over a day after a mass shooting left eight children dead in Shreveport, Louisiana, community members are struggling to process the tragedy. On Sunday morning, Shamar Elkins, a 31-year-old father and military veteran, shot and killed the children and wounded two women, including his wife, in a domestic violence rampage that stretched across multiple homes in Shreveport’s Cedar Grove neighborhood. Elkins was killed by police after a car chase.",capitalbnews.org,2026-04-20,Gun Violence,Adam Mahoney,https://capitalbnews.org/shreveport-domestic-rampage-kills-8/
"In New Orleans, Black Cowboy Tradition Collides With Prison Rodeo Spectacle","NEW ORLEANS — Outside, along Claiborne Avenue in the Algiers section of New Orleans, Sunday looked familiar. Black children slurped snowballs in the street, adults danced around them, and Black riders eased their horses through the crowds, past corner stores and shotgun houses, hooves clapping against the asphalt. For Black riders like Robert Pollar, who learned to ride from his father, the Sunday scene is a ritual of care and presence that he said keeps Louisiana’s Black history alive.",capitalbnews.org,2026-04-17,Culture,Adam Mahoney,https://capitalbnews.org/angola-prison-rodeo-new-orleans-black-cowboys/
"Justin Fairfax, Once a Rising Political Star, Kills Wife in Murder-Suicide","ARLINGTON, Virginia — Former Virginia Lt. Gov. Justin Fairfax, who was the second Black American to hold that office in the state, fatally shot his estranged wife, Cerina Fairfax, and then himself at their home, police said. The couple’s two teenage children were at the Annandale home, just outside of Washington, at the time, and their son was the one who placed a 911 call shortly after midnight, Fairfax County Police Chief Kevin Davis said at a news conference on Thursday.",capitalbnews.org,2026-04-16,Criminal Justice,Brandon Tensley,https://capitalbnews.org/who-is-justin-fairfax-virginia-shooting/
Trump’s Clash With the Pope Is Raising Alarm in Black Churches,Religion is being weaponized — and some Christians are outraged. This was one of the main takeaways from the Rev. Ciera Bates-Chamberlain’s group chat with other Chicago faith leaders following President Donald Trump’s tirade against Pope Leo XIV. Trump this week accused Leo of being “terrible for Foreign Policy” and “WEAK on crime” because of his opposition to the Iran war. The president also posted — then deleted — an AI-generated image depicting himself as Jesus.,capitalbnews.org,2026-04-16,Politics & Policy,Brandon Tensley,https://capitalbnews.org/black-faith-leaders-trump-pope-leo/
Residents Say Musk’s AI Supercomputer Is a ‘Death Sentence’ for Memphis Communities,The fight over who gets poisoned so Silicon Valley can train smarter chatbots has landed in federal court. The NAACP is suing Elon Musk’s xAI for allegedly skirting permits and running gas turbines that are spewing formaldehyde and smog‑forming pollution into Black communities already scoring failing grades for air quality.,capitalbnews.org,2026-04-15,Environmental Justice,Adam Mahoney,https://capitalbnews.org/elon-musk-xai-naacp-black-neighborhoods-pollution/
Railroad Wins Appeal to Take Generations-Old Land in Rural Georgia,"Months ago, Blaine Smith was afraid that the Georgia Court of Appeals would allow a railroad company to seize part of his family’s generations-old land. That fear came true Wednesday when the court upheld a lower court’s decision to let Sandersville Railroad exercise eminent domain to take properties from several landowners in Sparta, Georgia, to build a rail spur. The Smiths, along with other property owners, have been fighting back against the company for nearly three years.",capitalbnews.org,2026-04-15,Economic Development,Aallyah Wright,https://capitalbnews.org/georgia-court-sparta-railroad-land-seizure/
