title,description,source,date_of_publication,category,author,link
"After 8 Children Die, Survivors Reveal How Louisiana Normalizes Partner Violence","A mass shooting in Shreveport's Cedar Grove neighborhood reveals how poverty, policing, and guns combine to trap Black families with abusers.",capitalbnews.org,2026-04-30,Gun Violence,Adam Mahoney,https://capitalbnews.org/shreveport-louisiana-domestic-violence-culture/
‘A Fight Ahead’: Black Voters Face Fallout From U.S. Supreme Court Decision,"Advocates say that the decision could ramp up efforts to dismantle majority-Black congressional districts, reshaping political power for years to come.",capitalbnews.org,2026-04-30,Elections,Brandon Tensley,https://capitalbnews.org/supreme-court-voting-rights-act-black-voters/
Supreme Court Ruling Threatens Black Voting Power Beyond Louisiana,"Wednesday’s decision struck down a district in the Bayou State, finding that the map “is an unconstitutional gerrymander.”",capitalbnews.org,2026-04-29,News,Brandon Tensley,https://capitalbnews.org/louisiana-v-callais-supreme-court-majority-black-district/
"For 35 Years, This Black Town in Illinois Has Been Told Its Sewage Crisis Isn’t Real",Residents proved their tap water carries sewage and bacteria. Federal funding dried up anyway.,capitalbnews.org,2026-04-28,Politics & Policy,Adam Mahoney,https://capitalbnews.org/cahokia-heights-water-crisis-sewage-tap-water/
What Recent Killings of Black Women Reveal About a Growing Crisis,The deaths of Cerina Fairfax and Nancy Metayer Bowen point to an epidemic that has persisted for decades.,capitalbnews.org,2026-04-27,Criminal Justice,Jonathan Franklin,https://capitalbnews.org/black-women-domestic-violence-crisis/
Black Farmers Aren’t Waiting on Washington to Save Them,"In rural America, growers are gathering for community while building partnerships to expand their operations.",capitalbnews.org,2026-04-27,Black Farmers,Aallyah Wright,https://capitalbnews.org/black-farmers-usda-cuts-community-support/
Black Teens Called ‘Radioactive’ as D.C. Cuts Programs Meant to Help Them,"As the City Council votes to advance a permanent youth curfew, advocates say the real problem isn’t being addressed.",capitalbnews.org,2026-04-24,Culture,Alecia Taylor,https://capitalbnews.org/dc-youth-curfew-teen-takeover/
"Virginia’s Redistricting Vote Was About Representation, Power, and History","After weeks of wall-to-wall campaigning, Virginians approved a new House map — but now it faces a legal hurdle.",capitalbnews.org,2026-04-23,Elections,Brandon Tensley,https://capitalbnews.org/virginia-redistricting-vote-black-political-power/
Atlanta’s ‘Cop City’ Makes a Black Neighborhood a Testing Lab for AI Policing,"In America’s most surveilled city, a community loses forest land and gains a network of AI-enabled cameras.",capitalbnews.org,2026-04-22,Climate Change,"Adam Mahoney, Madeline Thigpen",https://capitalbnews.org/atlanta-cop-city-ai-policing-black-community/
A Sudden Resignation Leaves Florida’s Blackest Congressional District in Limbo,U.S. Rep. Sheila Cherfilus-McCormick represented Florida’s 20th Congressional District since 2022 and stepped down amid an ethics investigation.,capitalbnews.org,2026-04-21,News,Brandon Tensley,https://capitalbnews.org/a-sudden-resignation-leaves-floridas-blackest-congressional-district-in-limbo/
