title,description,source,date_of_publication,category,author,link
Chris Brown Pleads Guilty In London Brawl Case,Chris Brown has pleaded guilty to affray after causing injuring in a brawl that took place in a London nightclub in 2023.,blavity.com,2026-07-27,News,Tomas Kassahun,https://blavity.com/chris-brown-pleads-guilty-in-london-brawl-case
GOP Internal Criticism Of JD Vance Raises Questions About His 2028 Prospects,A new report from the Washington Post has revealed that Vice President JD Vance is facing increasing scrutiny from Republicans.,blavity.com,2026-07-27,Politics,Tomas Kassahun,https://blavity.com/gop-internal-criticism-of-jd-vance-raises-questions
Was D4VD’s Apple Music Hacked? Everything To Know About ‘I Did It’ Track And If It Is New,"Fans are questioning a song titled “I DID IT…” that appeared on D4vd’s Apple Music profile over the weekend, wondering whether the release was legitimate or whether someone gained unauthorized access to the singer’s account. Details on the mysterious song and whether it was about Celeste Rivas Hernandez The track surfaced Saturday with cover art… Continue reading Was D4VD’s Apple Music Hacked? Everything To Know About ‘I Did It’ Track And If It Is New",blavity.com,2026-07-27,News,Jahaura Michelle,https://blavity.com/was-d4vds-apple-music-hacked-i-did-it-track
"Nancy Mace Pushes Legislation To Dismantle Congressional Black, Hispanic And Asian Caucuses","A number of influential groups in Congress could be disbanded if one Republican has her way. Rep. Nancy Mace, R-S.C., has proposed legislation that would ban groups like the Congressional Black Caucus, claiming they are discriminatory. Mace wants to ban congressional organizations based on ‘race, color, ethnicity, or national origin’ On Thursday, Mace introduced a… Continue reading Nancy Mace Pushes Legislation To Dismantle Congressional Black, Hispanic And Asian Caucuses",blavity.com,2026-07-27,Politics,Christopher Rhodes,https://blavity.com/nancy-mace-pushes-legislation-to-dismantle-congressional-black-hispanic-and-asian-caucuses
The Supreme Court Term Limits Bill Democrats Know Won’t Pass — And Why They’re Pushing It Anyway,"Senate Democrats have reintroduced legislation that would impose 18-year term limits on future Supreme Court justices, reviving a proposal they first unveiled in 2023 as part of a long-term push to reshape the nation’s highest court. The proposal, led by Sen. Sheldon Whitehouse, D-R.I., faces little chance of advancing in the GOP-controlled Congress. But Whitehouse… Continue reading The Supreme Court Term Limits Bill Democrats Know Won’t Pass — And Why They’re Pushing It Anyway",blavity.com,2026-07-27,Politics,Maya Boddie,https://blavity.com/the-supreme-court-term-limits-bill-democrats-know-wont-pass
"Did Trump Make Racist, Vietnam War-Era Joke About Nicki Minaj At White House Correspondents’ Dinner?","President Donald Trump, no stranger to racist remarks and other controversy, is getting heat for a joke he told about one of his most prominent celebrity allies, Nicki Minaj. The remark about the rapper was part of Trump’s larger attempt at humor at the White House Correspondents’ Dinner, which was held again after the event… Continue reading Did Trump Make Racist, Vietnam War-Era Joke About Nicki Minaj At White House Correspondents’ Dinner?",blavity.com,2026-07-27,Politics,Christopher Rhodes,https://blavity.com/trump-nicki-minaj-white-house-dinner-joke
"Howard University Stands By Decision To Unenroll Hundreds Of Incoming Students Over Unpaid Fees, Will Review Certain Cases","Howard University is facing backlash and calls to reverse course after the HBCU reportedly informed hundreds of incoming students that their enrollment had been revoked over unpaid fees. The university is defending its decision while pledging to review some cases, but it remains unclear whether any of the disenrolled students will be allowed to attend.… Continue reading Howard University Stands By Decision To Unenroll Hundreds Of Incoming Students Over Unpaid Fees, Will Review Certain Cases",blavity.com,2026-07-24,News,Christopher Rhodes,https://blavity.com/howard-unenrolled-students
AFROTECH™ Commits To Training One Million People In AI Skills For The Future Of Work,"AFROTECH™ is committing to train one million people in artificial intelligence, expanding access to practical AI education while helping learners, professionals, entrepreneurs, creators, and community leaders build the skills needed for an AI-powered future. Developed in partnership with leading Fortune 100 companies, the initiative will provide practical AI training for people at every stage of… Continue reading AFROTECH™ Commits To Training One Million People In AI Skills For The Future Of Wor…",blavity.com,2026-07-24,News,Blavity Team,https://blavity.com/afrotech-commits-to-training-one-million-people-in-ai-skills
"Black Former Six Flags Employee Alleges Racial Bias, Wrongful Termination In $25 Million Lawsuit","A former Six Flags Magic Mountain employee has filed a $25 million lawsuit against the park and its parent company over alleged racial discrimination and wrongful termination. Charles Winters, a Black man and Los Angeles resident, filed the multimillion-dollar complaint in Los Angeles Superior Court on July 2. He worked at the Valencia, California, park… Continue reading Black Former Six Flags Employee Alleges Racial Bias, Wrongful Termination In $25 Million Lawsuit",blavity.com,2026-07-24,News,Jahaura Michelle,https://blavity.com/black-former-six-flags-employee-alleges-racial-bias-lawsuit
"Lexington, Kentucky, Reached 150 Days Without A Homicide. This Rapper And Activist Explains How It Happened","The City of Lexington, Kentucky, recently marked a milestone, reaching 150 days without recording a single homicide. As the city continues to see violence rates drop, one of the most prominent voices working to fight gun violence has been Devine Carama, an Emmy-winning hip-hop artist who has spent years leading the ONE Lexington government-community anti-violence… Continue reading Lexington, Kentucky, Reached 150 Days Without A Homicide. This Rapper And Activist Explains How It Happened",blavity.com,2026-07-24,News,Christopher Rhodes,https://blavity.com/lexington-kentucky-reached-150-days-without-homicide-devine-carama-initiative
