title,description,source,date_of_publication,category,author,link
Louisiana Republicans Cut Black Voting Power With New House Map,The district was established in 2024 and gave Black residents an opportunity to elect the candidate of their choice.,capitalbnews.org,2026-05-29,Voting,"Brandon Tensley, Adam Mahoney",https://capitalbnews.org/louisiana-congressional-map-black-voting-power/
Black Farmers Sue USDA Over $127 Million in Canceled Grants,More than two dozen organizations say the agency violated its due process rights when it eliminated their grants.,capitalbnews.org,2026-05-29,Agriculture,Aallyah Wright,https://capitalbnews.org/black-farmers-usda-grants-lawsuit/
"Cross Burning, Federal Charges, and the State That Still Won't Call It a Hate Crime","Three years after Monica and Shawn Williams faced harassment in South Carolina, their white neighbor has been charged.",capitalbnews.org,2026-05-28,Criminal Justice,Aallyah Wright,https://capitalbnews.org/south-carolina-hate-crime-bill-fight/
Jim Clyburn’s District Is at the Center of a New Fight Over Black Voting Power,"As states rush to redraw congressional districts after a Supreme Court ruling, Black voters in South Carolina say their political power is under attack.",capitalbnews.org,2026-05-27,Politics & Policy,Brandon Tensley,https://capitalbnews.org/jim-clyburn-black-voting-rights-redistricting-fight/
How One Supreme Court Ruling Is Rewriting 60 Years of Voting Protections,"The decision could ramp up redistricting efforts to dismantle majority-Black congressional districts, advocates say.",capitalbnews.org,2026-05-26,Elections,Brandon Tensley,https://capitalbnews.org/supreme-court-voting-rights-act-black-voters/
Black Voters in the South Want Leaders Who Fight but Also Deliver,Lawmakers who force national conversations become symbols of resistance — though constituents also want that visibility to translate into tangible gains.,capitalbnews.org,2026-05-26,Politics & Policy,Brandon Tensley,https://capitalbnews.org/black-political-power-red-states-voting-rights-battle/
"Sapelo Island Residents Won a Major Vote, but Their Fight Continues",Gullah Geechee descendants on the Georgia island are still battling to protect and preserve their home.,capitalbnews.org,2026-05-21,Politics & Policy,Aallyah Wright,https://capitalbnews.org/sapelo-island-building-moratorium-gullah-geechee/
The Hidden Climate Threat Making Black Communities’ Food Less Nutritious,"Air pollution has made staple crops in the Black diet less nutritious, but urban farmers are cooking up solutions.",capitalbnews.org,2026-05-19,Air Pollution,Adam Mahoney,https://capitalbnews.org/climate-change-black-diets-food-nutrients/
‘We’re Not Going Back’: Black Voters March in Alabama Against Redistricting,Black Southerners mobilize across Selma and Montgomery against the direct attacks on voting protections.,capitalbnews.org,2026-05-17,Culture,Alecia Taylor,https://capitalbnews.org/black-voters-montgomery-march/
Black Women Are Turning the Supreme Court Ruling Into a Battle Cry,Thousands plan to descend on Alabama on Saturday in a fight to protect voting rights and Black political power.,capitalbnews.org,2026-05-14,Voting,Aallyah Wright,https://capitalbnews.org/black-women-mobilize-voting-rights-alabama/
"Trump Weakened FEMA, and a Black St. Louis Neighborhood Is Paying the Price","After the most destructive urban tornado in years, a historic Black community is rebuilding largely on its own.",capitalbnews.org,2026-05-14,Extreme Weather,Adam Mahoney,https://capitalbnews.org/st-louis-tornado-slow-recovery/
"Charleston’s Gullah Geechee Community Demand 7,000 Acres in Reparations",Advocates say rising tourism and development are displacing descendants from their ancestral land.,capitalbnews.org,2026-05-12,History,Aallyah Wright,https://capitalbnews.org/gullah-geechee-charleston-plantations-reparations/
Black Memphians Came to Fight a Voter Map That They Say Erases Them,Tennessee lawmakers unveil a proposed congressional map that redraws the majority-Black and lone Democratic district.,capitalbnews.org,2026-05-07,Elections,"Sam Stockard, Tennessee Lookout",https://capitalbnews.org/tennessee-map-memphis-black-vote/
Black Celebs Who Slayed the 2026 Met Gala,Attendees at the iconic fashion event shared the inspiration behind looks featuring the “dressed body” theme.,capitalbnews.org,2026-05-05,Arts & Entertainment,Capital B Staff,https://capitalbnews.org/black-celebs-2026-met-gala/
"In America’s Poorest State, Unhoused People May Soon Be Jailed",Unhoused residents warn a Louisiana bill punishes survival in a state already leading the nation in poverty and incarceration.,capitalbnews.org,2026-05-04,Housing,Adam Mahoney,https://capitalbnews.org/louisiana-homelessness-bill-jail-hard-labor/
