title,description,source,date_of_publication,category,author,link
"SCOTUS Reverses Mississippi Black Man's Death Sentence, Ruling Jury Selection Was Racist","Supreme Court rules against racist jury selection in Mississippi death row case, overturning conviction",newsone.com,2026-05-29,Civil Rights &Amp; Social Justice,,https://newsone.com/6861863/scotus-terry-pitchford-mississippi-black-man-death-sentence-jury-selection-racist/
Federal Judge Issues Block On Trump’s Anti-Weaponization Fund,"Trump’s plan to pay Jan 6 rioters blocked, sparking bipartisan outrage over rewriting history and protecting insurrection.",newsone.com,2026-05-29,Politics,,https://newsone.com/6861875/federal-judge-issues-block-on-trumps-anti-weaponization-fund/
Memphis Residents File Lawsuit Alleging ICE Is Violating Constitutional Rights,The lawsuit alleges that Memphis’s ICE task force has been harassing and threatening people legally observing the conduct of federal agents.,newsone.com,2026-05-29,Civil Rights &Amp; Social Justice,,https://newsone.com/6861892/memphis-residents-file-lawsuit-alleging-ice-is-violating-constitutional-rights/
Op-ED: Why Can't Our Bigoted President Leave The Somali Community Alone?,"During a White House Cabinet meeting, Trump declared that “Somalians” in Minnesota are all “crooks.”",newsone.com,2026-05-29,Opinion,,https://newsone.com/6861885/why-cant-trump-leave-the-somali-community-alone-op-ed/
Louisiana Passes Map Eliminating Majority-Black District,Louisiana Gov. postponed a primary election already in progress to implement a redistricting effort that disenfranchises Black voters.,newsone.com,2026-05-29,Nation,,https://newsone.com/6861905/louisiana-passes-map-eliminating-majority-black-district/
Here We Go Again: Trump Refiles $10B Lawsuit Against Wall Street Journal Over Epstein Reporting,President Donald Trump has refiled his $10 billion lawsuit against The Wall Street Journal and two WSJ reporters over Epstein reporting.,newsone.com,2026-05-28,Politics,,https://newsone.com/6861828/trump-refiles-10-billion-lawsuit-against-wall-street-journal-epstein-reporting/
35 Former Federal Judges Ask District Judge To Investigate Trump's IRS Immunity And 'Anti-Weaponization Fund',A group of retired federal judges is calling for an investigation into Trump’s IRS immunity and the ‘Anti-Weaponization Fund.’,newsone.com,2026-05-28,Politics,,https://newsone.com/6861776/former-federal-investigation-trump-irs-immunity-anti-weaponization-fund/
SCOTUS Just Aided Brian Flores’ Fight For Justice Against The NFL,SCOTUS’s shocking decision not to intervene in the racial discrimination lawsuit is a significant victory for the Black coach seeking accountability for the league’s discriminatory practices.,newsone.com,2026-05-28,Opinion,,https://newsone.com/6861770/scotus-brian-flores-fight-justice-nfl/
The NAACP Is Asking Black Teenagers To Save Black Voting Rights,"Black youth are being placed at the center of a civil rights fight, and their bodies, choices, futures, and labor are being asked to carry the moral weight of a nation’s failure.",newsone.com,2026-05-28,Civil Rights &Amp; Social Justice,,https://newsone.com/6861800/naacp-asking-black-teenagers-save-black-voting-rights/
Black Artists Are Pulling Out Of Trump’s Freedom 250 Concert,"Musical acts Young MC and Morris Day have pulled out of the Freedom 250 event set for next month in Washington, D.C.",newsone.com,2026-05-28,Black News,,https://newsone.com/6861777/black-artists-are-pulling-out-of-trumps-freedom-250-concert/
