bootstrap_iter,pooled_f1_supervised,pooled_f1_hybrid_soft_cv,pooled_f1_diff,pooled_kappa_supervised,pooled_kappa_hybrid_soft_cv,pooled_kappa_diff
0,0.31146308292266744,0.27335576883689217,0.03810731408577528,0.28810987804715066,0.23452762921157255,0.053582248835578106
1,0.3166430557208566,0.2749408489582411,0.04170220676261549,0.2915272483744854,0.2327699520180117,0.0587572963564737
2,0.3385529556699252,0.23620351722548627,0.10234943844443894,0.31396200239107686,0.1912968089361452,0.12266519345493165
3,0.31475289586683136,0.26849598346903825,0.046256912397793115,0.29045217731272754,0.22823773966502764,0.062214437647699905
4,0.29674225538556953,0.24696920215686965,0.049773053228699876,0.2724551789260879,0.20239845818022761,0.07005672074586028
5,0.3440660677018234,0.2980477949409402,0.046018272760883216,0.3207896351411551,0.25469510692590824,0.06609452821524686
6,0.31085734754848604,0.25093565360900577,0.05992169393948027,0.2868261976510357,0.20835689358354897,0.0784693040674867
7,0.30928488499522055,0.2463349509890887,0.06294993400613186,0.2865037806437587,0.20487574362340166,0.08162803702035704
8,0.334968569226604,0.26762514114289043,0.06734342808371357,0.310425182981954,0.2293421203783221,0.08108306260363188
9,0.3346343622562966,0.2383895565999538,0.0962448056563428,0.3125304092996669,0.19580612137615838,0.11672428792350853
10,0.3380262846231526,0.29243579314724855,0.04559049147590405,0.3127434498690113,0.2522791918041206,0.0604642580648907
11,0.30269868954037027,0.2764408881359746,0.026257801404395653,0.27912369269385917,0.23962436764576395,0.039499325048095224
12,0.3563317319728677,0.27349921795289184,0.08283251401997588,0.3343708688145126,0.23363041108496552,0.1007404577295471
13,0.36137682204398325,0.2620704293702427,0.09930639267374053,0.33722228441857477,0.21996689296215896,0.11725539145641581
14,0.2663650927744139,0.2111325192693534,0.0552325735050605,0.24329790040544474,0.17101618636371346,0.07228171404173128
15,0.34168701333556406,0.23198855853210332,0.10969845480346074,0.3191186078797977,0.18900597960018703,0.13011262827961065
